mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_components,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.003228267033894857,0.0005160050931955116,0.002439737319946289,0.0009985902735714987,2,{'n_components': 2},,,,,,1
0.006594498952229817,0.0009572726618354634,0.0033462047576904297,0.002045566282517577,3,{'n_components': 3},,,,,,1
0.005541324615478516,0.0013131627119725867,0.003001610438028971,0.0010559536408793126,5,{'n_components': 5},,,,,,1
0.005261580149332683,0.0009361123156177244,0.00309141476949056,0.000976683997700412,7,{'n_components': 7},,,,,,1
0.005360523859659831,0.0003990841363731351,0.0023140907287597656,0.0003777983442504044,9,{'n_components': 9},,,,,,1
0.0064516862233479815,0.0009921276007211497,0.0029398600260416665,0.001377934608251488,10,{'n_components': 10},,,,,,1
